id,text,label
er_ad7fa82af433,"Associate Analyst Nothing. Been over 2 years. No matter how well u work , you never get rewarded. Everything. Poor remuneration. No career growth. Too much favouritism.",not_mentioned
er_6fb3827bdffc,"Awesome Worklife balance
People
Ample leaves , wfh facility Salary hike
Minimal growth
Stability-not good for freshers",remote
er_dd92b47c117a,"Great Company and Leadership MyRyan allows for flexibility, but also responsibility. Personally this policy has been extremely beneficial and successful on my team. It's one of the main reasons I love Ryan LLC and see a long term future with this company. The CEO is also very transparent and really listens to his employees. He is always taking our feedback and running with it to see what he can do. I believe in the leadership here and their vision for Ryan's future. I also really like the benefits program and the emphasis on wellbeing. RyanThrive has been a great addition and the fitness reimbursement is really nice. It does feel like the company values its largest and top performing teams more than the smaller or under-performing ones. All teams are important to contributing to our overall goal and should be valued as such.",not_mentioned
er_e52591763758,"Five years lot of young dynamic very smart colleague
Very interesting experience Very long hours
Distant between top management and other employees",not_mentioned
er_e83e7ab126ea,"Good work life balance, failed in Mobile/Cloud but still a good place to work for 1. Good work life balance
2. Personal office
3. A large company have different teams working on different things, and it's very easy to do internal transfer, so you could get your hands on a lot of different areas. 1. A little less paid compared with other Tech companies
2. The management team really lacks vision",not_remote
er_68066d60c603,Great place to work - set career path with a great support system around - large company means lots of politics to deal with,not_mentioned
er_cfbd28bef1b5,"Great People Fantastic people to work with and tons of growth potential Lots of internal processes, etc.",not_mentioned
er_265ff86fd6b1,"Not For Everyone Im Afraid The rate of pay is excellent with some other good fringe benefits after you have been under the company's wing for a while. Great transport links to site for anyone needing to use public transport. It has a subsidised cafeteria with  televisions, games consoles and pool tables to help you relax in your downtime on site. Terrible work/life balance as shift patterns are sporadic where by i was working  multiple different shifts in a working week that could see you work early mornings, afternoons and late nights all in the same week which means you get no opportunity to get in a set pattern and have a life away from the business. Also management is all over you from day one after you have ''passed'' your training, you are expected to hit the same call rates as people whom have been working here for years which is just unrealistic when you are still learning effectively on the job. This is why i left personally left this position but can not speak for other people of course but i would say these are key reasons why this place is forever hiring with immediate starts for people because the staff retention levels are truly dreadful.",not_remote
er_e8ffe6e99e56,Nope Feel like there arnt any pros. As I'll explain in the cons. Your underpaid and overworked. Management are rude as he'll and treat you like crap. Most managers spend all day on there phone's then moan your not doing enough work when your working as fast as you can. It's just pointless unless you enjoy made to feel like crap.,not_mentioned
er_a5a8ddbfb551,"Not for those who don't live to work learn a lot in a short period of time
some freedom to make the work your own SUCH long hours, sometimes for nothing. If we are waiting for work, let us go home
work life balance
office politics",not_mentioned
er_ec99c246ca5f,"Research associate Flexible working style, no pressure. Crowded office, very few lecturer positions in my area in these year.",not_remote
er_c53b61e9e339,"Best Organisation I have operated with 1) Excellent benefits compared to other private training providers
2) Potential for career progression
3) Learners are very switched on, supported and motivated
4) Maintain positive working relationships even when remote working
5) Second to none line management with unlimited support
6) Strong CPD environment and good reporting procedures
7) Fantastic state of the art facilities in the majority of working environments
8) Treated like a valued member of staff and valued for opinions 1) A little slow in working towards my  probation period targets when first employed.",remote
