id,text,label
er_97cbbb8deb66,"Great Company Amazing resources, Great mentorship and Nice Office Building. Pay and Benefits could be better.",
er_2af20266355b,Good WFH option is good. Flexible Nothing found so far.,
er_6bce1036ea26,"Great for an Interim job Great Benefits, good pay when hired Not Remote friendly, raises are scarce despite huge company profits",
er_7ed180acdadc,"The Times Top 100 companies to work for It's a dynamic and fast paced environment to work!  Talented workforce from the around the different markets it seems are uniting at The Access Group.  One of the most striking things is that it doesn't matter which division you work in, Access employees help each other.  6,000+ customers and counting, it is in a stage of rapid growth, making it fun and challenging. Long may it continue! Continued success mean that we are outgrowing our office environments.",
er_4b3e3aa1516f,"Package Solution Consultant Good Management, Work From Home,  Submitting the work on time is important rather than being present in office for 8 hrs Slow growth rate, negligible salary increments",
er_06e81703e841,Data Analyst Intern great work environment and great co-workers. Management really cares and wants you to succeed. Very busy and fast paced,
er_a92c9c805cad,"Engaging Open honest communication, high-impact work Hours can be long at times",
er_f72b37f2d8a7,Great benefits and employee development Great development for employees and management cares about your opinion Lots of management levels- decisions are slow,
er_64b59edf68bf,"Great place to work Caring company culture, great benefits, friendly coworkers, lots of internal opportunities Not able to work remote",
er_aeab02312847,Deloitte Data Scientist Experience Opportunities to travel to clients' sites and work with clients in person; and lots of practice on verbal communication and presentations Underpaid by about 25% compared to technology companies for data scientists with the same level of expertise/experience,
er_c58b78d15df7,Decent place Good for students to work at Do not consider as a long term option,
er_50669a5feda5,"Great to be able to work from home but the company is not willing to change anything Working from home
Managers are not too pushy
Colleagues are very knowleadgeable
Facilities are good Too many people recycling the work of others and no real new ideas
Unwillingness to change the direction of the company
Incompetent managers
Unclear direction",
er_aa43e4990321,"Great spirit and great opportunities Great opportunities both as part of regular case work and beyond (externships, secondments, LoA, ...)
Great atmosphere and spirit (Bain World Cup, office parties, office offsites, ...) The usual consulting cons:
Working hours can be tough
Little control over own time as a junior team member",
er_5f782ea06752,Unsatisfied Good knowledge base and initial salary packages But no one wants to share that knowledge and salary hikes are not less than the price of 1KG almonds,
er_e04cc0c85ae4,"Great company for growth - Smart people
- Tons of opportunity to grow professionally, better than most
- Great experiences available to even the most junior professionals 
- Pay is good
- Amazing benefits and good amount of time off
- Seem to care about their employees and reward talent and initiative - Depending on project, can be very intense: short timeframe and high-impact deliverables. However, makes you a better professional and you have the flexibility to change projects and choose your network
- Big company feel, for those that want small company (not really a con- local office can seem small once you get to know people)
- Firm requires additional ""initiative"" non-client work be done on top of client work, but it is all to help grow the individual, the firm, and the brand. Many are employee-led and there are service/outreach opportunities",
er_7dcd1638e3ff,"grand Easy Work
No Stress
Great People
good pay Unrealistic Customer expectations
unsociable working hours",
er_be88ca942e8c,"Advisory Software Engineer They are paying me money. They reversed foot on the flexibility and work from home policy.  I moved to a different city based on these perks, and now live in fear of losing my job or being forced to move back to a place I just left.",
er_bb7d590f475a,"Great Company to Work For Work Life Balance., Culture and Values Annual Increases for non professional staff could be better",
er_ef74cdc3e360,"Santander employment Good pension packages, travel allowance, childcare vouchers, staff discounts on insurances Branch retail structure lacking in staff, pay and home life flexibility. However in comparison to head office - the job is much more flexible",
er_090673dd5387,"VP  New York, NY good company to work for, excellent people, good culture, nice office, variety of benefits, perks etc, good career mobility As all financial companies - tough deadlines, need for coordination between many teams, sometimes work on weekends and on call 24x7",
er_2cee958295ea,It's ok Flexible with schedules. WFH is also a plus. Stingy when it comes to a raise or promotion,
er_8923191465b0,"Find the right manager / team Advanced working system
Flexible working hours
Absolutely wonderful brand name
HR is good
Great growth if you have a great manager / VP which is 2/5 chances Reconciliation unit is badly managed
some pathetic VP's & some are really good - lucky if you find the right one
Poor growth and underpaid compared to Goldman Sachs
Bad culture - people give you weird looks if you wear or say something inappropriate!",
er_38861419af5b,good place to work Lots of opportunity to progress Shift work can be hard at times,
